Phase,UC,Step,Executor,TruthStatus,Coverage,RequiredEvidence,ExpectedSkips,Notes
E1,UC-E1-01/02/03,E1-Core,accept-e1-core.ps1,CURRENT,E1 publish + search + preview; PostgreSQL authoritative persistence,e1PublishAcceptance=PASS;e1SearchAcceptance=PASS;e1PreviewAcceptance=PASS;databaseReadback=PASS;status=PASS,0,
E2,UC-E2-01,E2-01,accept-e2-01-cooldown-route-api.ps1,CURRENT_COMPOSITE,Route-scoped rejection cooldown plus E2-01 creation reused by E2-02/E2-03/E3/E4/E5/E6 fixtures,status=PASS;action=COOLDOWN_ROUTE,0,Creation/state breadth is additionally exercised by later current executors and Testing v2.
E2,UC-E2-02,E2-02,pre-e7-accept-e2-02-current.ps1,CURRENT,Driver PENDING queue/detail in both CUNG_DIEM_DEN and TRUNG_DOAN_TUYEN geometry tiers,same-destination: PASS;segment: PASS;Overall: PASS,6,Three justified skips per isolated geometry scenario; deterministic DB/read-only/state-transition coverage is in Testing v2 and E2-03 current acceptance. Runtime-isolated wrapper enforces port/process quiescence between internal scenarios.
E2,UC-E2-03,E2-03,pre-e7-accept-e2-03-current.ps1,CURRENT,"ACCEPT + REJECT, cooldown, seat/state/idempotency and public API decision behavior",accept: PASS;reject: PASS;Overall: PASS,8,Four justified skips per scenario: non-owner seeded-authority fixture, two concurrency races, and internal DB-count evidence; covered by Testing v2 security/integration/concurrency layers. Runtime-isolated wrapper enforces port/process quiescence between internal scenarios.
RT,RT-B01,RT-E2-E3,accept-realtime-e2-e3.ps1,CURRENT,Private STOMP-over-SockJS E2/E3 realtime contracts and REST recovery,realtimeAcceptance=PASS;status=PASS,0,
E3,UC-E3-01,E3-01,pre-e7-accept-e3-01-current.ps1,CURRENT,Passenger cancellation from PENDING and ACCEPTED; legacy Driver single-booking cancel removed,passenger-pending: PASS;passenger-accepted: PASS;Overall: PASS,0, Runtime-isolated wrapper enforces port/process quiescence between internal scenarios.
E3,UC-E3-S01,E3-S01,accept-e3-s01-api.ps1,CURRENT,Passenger own request list/detail/history/status privacy and validation,status=PASS,0,
E3,UC-E3-03,E3-03,pre-e7-accept-e3-03-current-v3.ps1,CURRENT,"Public-only route cancellation: no-requests, pending cascade, accepted cascade, concurrent exactly-once; fixture-dependent security/mixed/trip-conflict are required from Testing v2",no-requests=PASS;pending-cascade=PASS;accepted-cascade=PASS;concurrent-exactly-once=PASS;publicApiOnly=PASS;securityFixtureDependentCoverage=TESTING_V2_PASS;mixedFixtureDependentCoverage=TESTING_V2_PASS;tripConflictFixtureDependentCoverage=TESTING_V2_PASS;status=PASS,0,Current wrapper never executes E3-03 DB-write fixture branches. Runtime-isolated wrapper enforces port/process quiescence between internal scenarios.
E3,UC-E3-S02,E3-S02,accept-e3-s02-api.ps1,CURRENT,Driver own route list/detail/history/privacy/filter validation,status=PASS,0,
E4,UC-E4-01,E4-01,accept-e4-01.ps1,CURRENT,Lock route/form Trip; REST + realtime + PostgreSQL read-back,restAcceptance=PASS;databaseReadback=PASS;realtimeAcceptance=PASS;status=PASS,0,
E4,UC-E4-S01,E4-S01,accept-e4-s01.ps1,CURRENT,Trip plan/detail privacy for Driver vs Passenger; DB reconciliation,restAcceptance=PASS;databaseReadback=PASS;privacyAcceptance=PASS;status=PASS,0,
E5,UC-E5-05,E5-05,accept-e5-05.ps1,CURRENT,Cancel formed Trip before Start; DB/realtime/privacy/idempotent side effects,apiAcceptance=PASS;databaseReadback=PASS;privacyAcceptance=PASS;realtimeDelivery=PASS;restReconciliation=PASS;status=PASS,0,
E5,UC-E5-01,E5-01,accept-e5-01.ps1,CURRENT,Explicit Driver Start; one-shot proximity evidence; realtime/DB reconciliation,apiAcceptance=PASS;databaseReadback=PASS;realtimeDelivery=PASS;restReconciliation=PASS;realtimeAcceptance=PASS;acceptanceClosure=PASS;status=PASS,0,
E5,UC-E5-S01,E5-S01,accept-e5-s01.ps1,CURRENT,Current operational Trip truth and privacy with zero read side effects,restAcceptance=PASS;databaseReadback=PASS;privacyAcceptance=PASS;restReconciliation=PASS;status=PASS,0,
E5,UC-E5-02,E5-02,accept-e5-02.ps1,CURRENT,"Driver pickup arrival, first unresolved stop, evidence, realtime, DB",apiAcceptance=PASS;databaseReadback=PASS;privacyAcceptance=PASS;realtimeDelivery=PASS;restReconciliation=PASS;status=PASS,0,
E5,UC-E5-03,E5-03,accept-e5-03.ps1,CURRENT,Boarding code + boarding state cascade; wrong/retry paths; realtime/DB,apiAcceptance=PASS;databaseReadback=PASS;privacyAcceptance=PASS;realtimeDelivery=PASS;restReconciliation=PASS;status=PASS,0,
E5,UC-E5-04,E5-04,accept-e5-04.ps1,CURRENT,Explicit no-show after ARRIVED/wait condition; pickup/dropoff skip consistency,apiAcceptance=PASS;databaseReadback=PASS;privacyAcceptance=PASS;realtimeDelivery=PASS;restReconciliation=PASS;status=PASS,0,
E6,UC-E6-01,E6-01,accept-e6-01.ps1,CURRENT,Location ingestion current/historical/duplicate ordering; PostGIS/DB/privacy/retention policy,apiAcceptance=PASS;databaseReadback=PASS;privacyAcceptance=PASS;orderingAcceptance=PASS;retentionPolicyAcceptance=PASS;status=PASS;skipCount=2,2,Physical purge is technical; old SECURITY_FROZEN skip is composite-covered by E6-06 in this v2 run.
E6,UC-E6-02,E6-02,accept-e6-02.ps1,CURRENT,Authorized active-Passenger current location; ordering/reconnect/no replay/privacy/E6-03 interaction,apiAcceptance=PASS;databaseReadback=PASS;realtimeDelivery=PASS;restReconciliation=PASS;privacyAcceptance=PASS;orderingAcceptance=PASS;reconnectAcceptance=PASS;monitoringInteractionAcceptance=PASS;status=PASS;skipCount=3,3,NO_SHOW revocation and multi-instance are deterministic/out-of-scope; old SECURITY_FROZEN skip is composite-covered by E6-06.
E6,UC-E6-03,E6-03,accept-e6-03.ps1,CURRENT,Autonomous NORMAL->DELAYED->LOST + recovery; realtime/DB/privacy/no notification,apiAcceptance=PASS;schedulerAcceptance=PASS;databaseReadback=PASS;realtimeDelivery=PASS;restReconciliation=PASS;privacyAcceptance=PASS;auditEvidenceAcceptance=PASS;retentionPolicyAcceptance=PASS;status=PASS;skipCount=3,3,Physical purge and deterministic LOST->DELAYED timing remain Testing-v2 responsibility; old SECURITY_FROZEN skip is composite-covered by E6-06.
E6,UC-E6-05,E6-05,accept-e6-05.ps1,CURRENT,Safety claim concurrency/workflow/reassignment/privacy/notification/audit/retry; E6-04 compatibility,apiAcceptance=PASS;claimConcurrencyAcceptance=PASS;handlingWorkflowAcceptance=PASS;reassignmentAcceptance=PASS;databaseReadback=PASS;realtimeDelivery=PASS;restReconciliation=PASS;privacyAcceptance=PASS;notificationAcceptance=PASS;auditEvidenceAcceptance=PASS;retryIdempotencyAcceptance=PASS;noAutoFreezeAcceptance=PASS;affectedE604Compatibility=PASS;status=PASS;skipCount=2,2,Foreign-school and permission-combination seed gaps remain covered by Testing v2 security/repository tests.
E6,UC-E6-06 + current UC-E6-04 SOS correction,E6-06,accept-e6-06.ps1,CURRENT_AUTHORITY,Six isolated Safety scenarios; current REPORT/SOS semantics; concurrency/retry/DB/realtime/privacy/notifications/cross-UC consistency,apiAcceptance=PASS;confirmationGuardAcceptance=PASS;participantAbortAcceptance=PASS;safeExitHoldAcceptance=PASS;wholeTripAbortAcceptance=PASS;safetyHandlerAbortAcceptance=PASS;targetAwareDedupAcceptance=PASS;concurrencyAcceptance=PASS;retryIdempotencyAcceptance=PASS;databaseReadback=PASS;crossEntityConsistencyAcceptance=PASS;waitingDeadlineAcceptance=PASS;credentialInvalidationAcceptance=PASS;realtimeDelivery=PASS;restReconciliation=PASS;privacyAcceptance=PASS;notificationAcceptance=PASS;e605EvidenceAcceptance=PASS;e601E603InteractionAcceptance=PASS;e5OperationalBlockAcceptance=PASS;routeHistoricalConsistencyAcceptance=PASS;status=PASS;skipCount=0,0,This executor supersedes historical standalone E6-04 SOS non-destructive acceptance and closes SECURITY_FROZEN composite coverage.
